Unique_ID,Category,Facility,ItemNumber,Item Unit,ItemName,Substance Name,Waste (AER) Code,DATAAREAID
701022sesc,Standard,,701022,Tonnes,Landfill Disposal - Oilfield Processing,Frac Sand - Non Radioactive,,sesc
701022sesc,Standard,,701022,Tonnes,Landfill Disposal - Oilfield Processing,Incinerator Ash,,sesc
701022sesc,Standard,,701022,Tonnes,Landfill Disposal - Oilfield Processing,Liner,,sesc
701022sesc,Standard,,701022,Tonnes,Landfill Disposal - Oilfield Processing,Metal (Scrap),,sesc
701022sesc,Standard,,701022,Tonnes,Landfill Disposal - Oilfield Processing,Municipal Solid Waste,,sesc
701022sesc,Standard,,701022,Tonnes,Landfill Disposal - Oilfield Processing,Contminated Soil (Pesticide/Herbicide),,sesc
701022sesc,Standard,,701022,Tonnes,Landfill Disposal - Oilfield Processing,Sand - Produced,,sesc
701022sesc,Standard,,701022,Tonnes,Landfill Disposal - Oilfield Processing,Sludge - Lime,,sesc
701022sesc,Standard,,701022,Tonnes,Landfill Disposal - Oilfield Processing,Snow Melt,,sesc
701022sesc,Standard,,701022,Tonnes,Landfill Disposal - Oilfield Processing,Wood (chemically treated/cooling tower),,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Absorbents,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Activated Carbon,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Asbestos,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Catalyst (Non-Sulphur),,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Catalyst (Sulphur),,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Cement (Returns Dry),,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Construction and Demolition Material,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Contaminated Debris/Soil (Chemical/solvent),,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Contaminated Debris/Soil (crude oil/condensate),,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Contaminated Debris/Soil (Emulsion),,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Contaminated Debris/Soil (Mercury/Metals),,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Contaminated Debris/Soil (Produced/Salt Water),,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Contaminated Debris/Soil (Refined Fuel/Oils),,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Contaminated Debris/Soil (Sulphur),,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Dessicant,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Drilling Waste - Advanced Gel Chem,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Drilling Waste - Gel Chem,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Drilling Waste - Hydrocarbon,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Empty Container,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Frac Sand - Non Radioactive,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Incinerator Ash,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Liner,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Metal (Scrap),,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Municipal Solid Waste,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Contminated Soil (Pesticide/Herbicide),,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Sand - Produced,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Sludge - Lime,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Snow Melt,,sesc
701023sesc,Standard,,701023,Tonnes,Landfill Disposal - Industrial,Wood (chemically treated/cooling tower),,sesc
701024sesc,Standard,,701024,Tonnes,Landfill Disposal - Municipal Waste,Municipal Solid Waste,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Absorbents,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Activated Carbon,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Asbestos,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Catalyst (Non-Sulphur),,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Catalyst (Sulphur),,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Cement (Returns Dry),,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Construction and Demolition Material,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Contaminated Debris/Soil (Chemical/solvent),,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Contaminated Debris/Soil (crude oil/condensate),,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Contaminated Debris/Soil (Emulsion),,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Contaminated Debris/Soil (Mercury/Metals),,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Contaminated Debris/Soil (Produced/Salt Water),,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Contaminated Debris/Soil (Refined Fuel/Oils),,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Contaminated Debris/Soil (Sulphur),,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Dessicant,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Drilling Waste - Advanced Gel Chem,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Drilling Waste - Gel Chem,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Drilling Waste - Hydrocarbon,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Empty Container,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Frac Sand - Non Radioactive,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Incinerator Ash,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Liner,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Metal (Scrap),,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Municipal Solid Waste,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Contminated Soil (Pesticide/Herbicide),,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Sand - Produced,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Sludge - Lime,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Snow Melt,,sesc
702012sesc,Standard,,702012,Tonnes,Landfill Disposal Class 1 - Drilling,Wood (chemically treated/cooling tower),,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Absorbents,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Activated Carbon,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Asbestos,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Catalyst (Non-Sulphur),,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Catalyst (Sulphur),,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Cement (Returns Dry),,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Construction and Demolition Material,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Contaminated Debris/Soil (Chemical/solvent),,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Contaminated Debris/Soil (crude oil/condensate),,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Contaminated Debris/Soil (Emulsion),,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Contaminated Debris/Soil (Mercury/Metals),,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Contaminated Debris/Soil (Produced/Salt Water),,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Contaminated Debris/Soil (Refined Fuel/Oils),,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Contaminated Debris/Soil (Sulphur),,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Dessicant,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Drilling Waste - Advanced Gel Chem,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Drilling Waste - Gel Chem,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Drilling Waste - Hydrocarbon,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Empty Container,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Frac Sand - Non Radioactive,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Incinerator Ash,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Liner,,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Metal (Scrap),,sesc
702013sesc,Standard,,702013,Tonnes,Landfill Disposal Class 1 - Remediation,Municipal Solid Waste,,sesc
