Unique_ID,Category,Facility,ItemNumber,Item Unit,ItemName,Substance Name,Waste (AER) Code,DATAAREAID
704035sesu,Standard,,704035,BBL,Industrial Water Disposal,Other Pipeline Related Wastes,,sesu
704035sesu,Standard,,704035,BBL,Industrial Water Disposal,Pipeline Hydrostat Water,,sesu
704035sesu,Standard,,704035,BBL,Industrial Water Disposal,Spent Fracturing Fluids or Acids,,sesu
704035sesu,Standard,,704035,BBL,Industrial Water Disposal,Sump Water,,sesu
704035sesu,Standard,,704035,BBL,Industrial Water Disposal,Unspent Fracturing Fluids or Acids,,sesu
704035sesu,Standard,,704035,BBL,Industrial Water Disposal,Waste Compressor Oil,,sesu
705039sesu,Standard,,705039,BBL,Butane Receipts,Butane,,sesu
705040sesu,Standard,,705040,BBL,Emulsion Treating,Emulsion,,sesu
705043sesu,Standard,,705043,BBL,Dry Oil Terminalling,Dry Oil,,sesu
706060sesu,Standard,,706060,BBL,Waste - Processing,Frac Fluid (hydrocarbon based),,sesu
706060sesu,Standard,,706060,BBL,Waste - Processing,Frac Fluid (water based),,sesu
706060sesu,Standard,,706060,BBL,Waste - Processing,Frac Sand,,sesu
706063sesu,Standard,,706063,BBL,Drilling Mud - Oil/Synthetic-based,GEL,,sesu
706063sesu,Standard,,706063,BBL,Drilling Mud - Oil/Synthetic-based,INVERT,,sesu
706063sesu,Standard,,706063,BBL,Drilling Mud - Oil/Synthetic-based,POLYMER,,sesu
706066sesu,Standard,,706066,BBL,Waste Processing - Solids < 15%,Tank Bottoms,,sesu
706066sesu,Standard,,706066,BBL,Waste Processing - Solids < 15%,Waste Processing,,sesu
706069sesu,Standard,,706069,BBL,Waste Processing - Solids >30%,Waste Processing,,sesu
706069sesu,Standard,,706069,BBL,Waste Processing - Solids >30%,Tank Bottoms,,sesu
706072sesu,Standard,,706072,BBL,Waste Processing - Pad Solids,Waste Processing,,sesu
706075sesu,Standard,,706075,BBL,Waste Processing - TNORM -  < 100 uR/hr & <15 % Solids,Waste Processing,,sesu
706075sesu,Standard,,706075,BBL,Waste Processing - TNORM -  < 100 uR/hr & <15 % Solids,Tank Bottoms,,sesu
706080sesu,Standard,,706080,BBL,Dry Contaminated Debris/Soil,,,sesu
